name,native name,iso code
Kongo,Kikongo,kg
Korean,한국어,ko
Kurdish,Kurdî, كوردی‎,ku
Kuanyama, Kwanyama,Kuanyama,kj
Latin,latine, lingua latina,la
Luxembourgish, Letzeburgesch,Lëtzebuergesch,lb
Ganda,Luganda,lg
Limburgan, Limburger, Limburgish,Limburgs,li
Lingala,Lingála,ln
Lao,ພາສາລາວ,lo
Lithuanian,lietuvių kalba,lt
Luba-Katanga,Kiluba,lu
Latvian,latviešu valoda,lv
Manx,Gaelg, Gailck,gv
Macedonian,македонски јазик,mk
Malagasy,fiteny malagasy,mg
Malay,Bahasa Melayu, بهاس ملايو‎,ms
Malayalam,മലയാളം,ml
Maltese,Malti,mt
Maori,te reo Māori,mi
Marathi,मराठी,mr
Marshallese,Kajin M̧ajeļ,mh
Mongolian,Монгол хэл,mn
Nauru,Dorerin Naoero,na
Navajo, Navaho,Diné bizaad,nv
North Ndebele,isiNdebele,nd
Nepali,नेपाली,ne
Ndonga,Owambo,ng
Norwegian Bokmål,Norsk Bokmål,nb
Norwegian Nynorsk,Norsk Nynorsk,nn
Norwegian,Norsk,no
Sichuan Yi, Nuosu,ꆈꌠ꒿ Nuosuhxop,ii
South Ndebele,isiNdebele,nr
Occitan,occitan, lenga d'òc,oc
Ojibwa,ᐊᓂᔑᓈᐯᒧᐎᓐ,oj
Church Slavic, Church Slavonic, Old Church Slavonic, Old Slavonic, Old Bulgarian,ѩзыкъ словѣньскъ,cu
Oromo,Afaan Oromoo,om
Oriya,ଓଡ଼ିଆ,or
Ossetian, Ossetic,ирон æвзаг,os
Panjabi, Punjabi,ਪੰਜਾਬੀ,pa
Pali,पाऴि,pi
Persian,فارسی,fa
Polish,język polski, Polszczyzna,pl
Pashto, Pushto,پښتو,ps
Portuguese,Português,pt
Quechua,Runa Simi, Kichwa,qu
Romansh,Rumantsch Grischun,rm
Rundi,Ikirundi,rn
Romanian, Moldavian, Moldovan,Română,ro
Russian,русский,ru
Sanskrit,संस्कृतम्,sa
Sardinian,sardu,sc
Sindhi,सिन्धी, سنڌي، سندھی‎,sd
Northern Sami,Davvisámegiella,se
Samoan,gagana fa'a Samoa,sm
Sango,yângâ tî sängö,sg
Serbian,српски језик,sr
Gaelic, Scottish Gaelic,Gàidhlig,gd
Shona,chiShona,sn
Sinhala, Sinhalese,සිංහල,si
Slovak,Slovenčina, Slovenský Jazyk,sk
Slovenian,Slovenski Jezik, Slovenščina,sl
Somali,Soomaaliga, af Soomaali,so
Southern Sotho,Sesotho,st
Spanish, Castilian,Español,es
Sundanese,Basa Sunda,su
Swahili,Kiswahili,sw
Swati,SiSwati,ss
Swedish,Svenska,sv
Tamil,தமிழ்,ta
Telugu,తెలుగు,te
Tajik,тоҷикӣ, toçikī, تاجیکی‎,tg
Thai,ไทย,th
Tigrinya,ትግርኛ,ti
Tibetan,བོད་ཡིག,bo
Turkmen,Türkmen, Түркмен,tk
Tagalog,Wikang Tagalog,tl
Tswana,Setswana,tn
Tonga (Tonga Islands),Faka Tonga,to
Turkish,Türkçe,tr
Tsonga,Xitsonga,ts
Tatar,татар теле, tatar tele,tt
Twi,Twi,tw
Tahitian,Reo Tahiti,ty
Uighur, Uyghur,ئۇيغۇرچە‎, Uyghurche,ug
Ukrainian,Українська,uk
Urdu,اردو,ur
Uzbek,Oʻzbek, Ўзбек, أۇزبېك‎,uz
Venda,Tshivenḓa,ve
Vietnamese,Tiếng Việt,vi
Volapük,Volapük,vo
Walloon,Walon,wa
Welsh,Cymraeg,cy
Wolof,Wollof,wo
Western Frisian,Frysk,fy
Xhosa,isiXhosa,xh
Yiddish,ייִדיש,yi
Yoruba,Yorùbá,yo
Zhuang, Chuang,Saɯ cueŋƅ, Saw cuengh,za
Zulu,isiZulu,zu
